,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Stateless persons,Others of concern,name,region,sub-region,alpha-3
671,2019,Senegal,SEN,United Kingdom of Great Britain and Northern Ireland,GBR,108,45,0,,0,0,Senegal,Africa,Sub-Saharan Africa,SEN
672,2019,Seychelles,SYC,United Kingdom of Great Britain and Northern Ireland,GBR,5,6,0,,0,0,Seychelles,Africa,Sub-Saharan Africa,SYC
673,2019,Singapore,SGP,United Kingdom of Great Britain and Northern Ireland,GBR,5,5,0,,0,0,Singapore,Asia,South-eastern Asia,SGP
674,2019,Sierra Leone,SLE,United Kingdom of Great Britain and Northern Ireland,GBR,326,157,0,,0,0,Sierra Leone,Africa,Sub-Saharan Africa,SLE
675,2019,Somalia,SOM,United Kingdom of Great Britain and Northern Ireland,GBR,3271,508,0,,0,0,Somalia,Africa,Sub-Saharan Africa,SOM
676,2019,Viet Nam,VNM,United Kingdom of Great Britain and Northern Ireland,GBR,1928,2494,0,,0,0,Viet Nam,Asia,South-eastern Asia,VNM
677,2019,Saint Kitts and Nevis,KNA,United Kingdom of Great Britain and Northern Ireland,GBR,8,12,0,,0,0,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,KNA
678,2019,Sudan,SDN,United Kingdom of Great Britain and Northern Ireland,GBR,10575,1523,0,,0,0,Sudan,Africa,Northern Africa,SDN
679,2019,South Sudan,SSD,United Kingdom of Great Britain and Northern Ireland,GBR,55,29,0,,0,0,South Sudan,Africa,Sub-Saharan Africa,SSD
680,2019,Eswatini,SWZ,United Kingdom of Great Britain and Northern Ireland,GBR,57,0,0,,0,0,Eswatini,Africa,Sub-Saharan Africa,SWZ
681,2019,Syrian Arab Republic,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,10389,1228,0,,0,0,Syrian Arab Republic,Asia,Western Asia,SYR
682,2019,"Tanzania, United Republic of",TZA,United Kingdom of Great Britain and Northern Ireland,GBR,98,100,0,,0,0,"Tanzania, United Republic of",Africa,Sub-Saharan Africa,TZA
683,2019,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,GBR,41,66,0,,0,0,Thailand,Asia,South-eastern Asia,THA
684,2019,Tajikistan,TJK,United Kingdom of Great Britain and Northern Ireland,GBR,10,11,0,,0,0,Tajikistan,Asia,Central Asia,TJK
685,2019,Turkmenistan,TKM,United Kingdom of Great Britain and Northern Ireland,GBR,12,22,0,,0,0,Turkmenistan,Asia,Central Asia,TKM
686,2019,Togo,TGO,United Kingdom of Great Britain and Northern Ireland,GBR,18,15,0,,0,0,Togo,Africa,Sub-Saharan Africa,TGO
687,2019,Trinidad and Tobago,TTO,United Kingdom of Great Britain and Northern Ireland,GBR,89,92,0,,0,0,Trinidad and Tobago,Americas,Latin America and the Caribbean,TTO
688,2019,Tunisia,TUN,United Kingdom of Great Britain and Northern Ireland,GBR,60,60,0,,0,0,Tunisia,Africa,Northern Africa,TUN
689,2019,Turkey,TUR,United Kingdom of Great Britain and Northern Ireland,GBR,1970,1206,0,,0,0,Turkey,Asia,Western Asia,TUR
690,2019,United Arab Emirates,ARE,United Kingdom of Great Britain and Northern Ireland,GBR,23,8,0,,0,0,United Arab Emirates,Asia,Western Asia,ARE
691,2019,Uganda,UGA,United Kingdom of Great Britain and Northern Ireland,GBR,1237,248,0,,0,0,Uganda,Africa,Sub-Saharan Africa,UGA
692,2019,Ukraine,UKR,United Kingdom of Great Britain and Northern Ireland,GBR,185,233,0,,0,0,Ukraine,Europe,Eastern Europe,UKR
693,2019,United States of America,USA,United Kingdom of Great Britain and Northern Ireland,GBR,58,81,0,,0,0,United States of America,Americas,Northern America,USA
694,2019,Uzbekistan,UZB,United Kingdom of Great Britain and Northern Ireland,GBR,76,47,0,,0,0,Uzbekistan,Asia,Central Asia,UZB
695,2019,Saint Vincent and the Grenadines,VCT,United Kingdom of Great Britain and Northern Ireland,GBR,35,16,0,,0,0,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,VCT
696,2019,Venezuela (Bolivarian Republic of),VEN,United Kingdom of Great Britain and Northern Ireland,GBR,51,42,0,,0,0,Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,VEN
697,2019,Western Sahara,ESH,United Kingdom of Great Britain and Northern Ireland,GBR,12,0,0,,0,0,Western Sahara,Africa,Northern Africa,ESH
698,2019,Yemen,YEM,United Kingdom of Great Britain and Northern Ireland,GBR,819,290,0,,0,0,Yemen,Asia,Western Asia,YEM
699,2019,Zambia,ZMB,United Kingdom of Great Britain and Northern Ireland,GBR,89,41,0,,0,0,Zambia,Africa,Sub-Saharan Africa,ZMB
700,2019,Zimbabwe,ZWE,United Kingdom of Great Britain and Northern Ireland,GBR,2324,390,0,,0,0,Zimbabwe,Africa,Sub-Saharan Africa,ZWE
701,2019,Stateless,XXA,United Kingdom of Great Britain and Northern Ireland,GBR,2858,1050,0,,161,0,,,,
702,2019,Unknown ,,United Kingdom of Great Britain and Northern Ireland,GBR,6277,5905,0,,0,0,,,,
